Title,Offer From,Seller,Condition,Price,URL
"Iphone xr на 2sim dual sim ,отличное состояние айфон 10р 10R iPhone XR",Частного лица,Дима,Б/у,12 999 грн.,https://www.olx.ua/obyavlenie/iphone-xr-na-2sim-dual-sim-otlichnoe-sostoyanie-ayfon-10r-10r-iphone-xr-IDFPUVB.html?sd=1#37c5b9989c
"Продам iphone 10, 256 GB",Частного лица,Инна,Б/у,400 $,https://www.olx.ua/obyavlenie/prodam-iphone-10-256-gb-IDKCChZ.html#37c5b9989c
"Iphone 10xs max, айфон макс 256",Частного лица,Евгений,Б/у,799 $,https://www.olx.ua/obyavlenie/iphone-10xs-max-ayfon-maks-256-IDKEvdO.html#37c5b9989c
IPhone 10 256gb,Частного лица,Дима,Б/у,430 $,https://www.olx.ua/obyavlenie/iphone-10-256gb-IDKX9kZ.html#37c5b9989c
Iphone10,Частного лица,Александр,Б/у,350 $,https://www.olx.ua/obyavlenie/iphone10-IDKX1b5.html#37c5b9989c
IPhone 7+ состояние 9/10. Цена 5500,Частного лица,Максим,Б/у,5 000 грн.,https://www.olx.ua/obyavlenie/iphone-7-sostoyanie-9-10-tsena-5500-IDKVLzs.html#37c5b9989c
Iphone X 64 gb айфон 10 64gb,Частного лица,Давид,Б/у,10 700 грн.,https://www.olx.ua/obyavlenie/iphone-x-64-gb-ayfon-10-64gb-IDKVeDf.html?sd=1#37c5b9989c
"Iphone X, Iphone 10 64 GB Silver/Space Gray",Бизнес,Мевший Сергей Владимирович,Б/у,410 $,https://www.olx.ua/obyavlenie/iphone-x-iphone-10-64-gb-silver-space-gray-IDJMgVx.html#37c5b9989c
IPhone 10 X 64gb,Частного лица,Екатерина,Б/у,9 900 грн.,https://www.olx.ua/obyavlenie/iphone-10-x-64gb-IDKWR0v.html?sd=1#37c5b9989c
IPhone X (Айфон 10) 64 Gb Neverlock,Частного лица,Макс,Б/у,12 500 грн.,https://www.olx.ua/obyavlenie/iphone-x-ayfon-10-64-gb-neverlock-IDKWGMU.html?sd=1#37c5b9989c
Iphone х 10 на 256,Частного лица,krasnikovakamilla2,Б/у,7 500 грн.,https://www.olx.ua/obyavlenie/iphone-h-10-na-256-IDKWBfw.html?sd=1#37c5b9989c
"Меняю свой iPhone 7+,7 и Air pods pro на iPhone не ниже 10",Частного лица,Максим,Б/у,Обмен,https://www.olx.ua/obyavlenie/menyayu-svoy-iphone-7-7-i-air-pods-pro-na-iphone-ne-nizhe-10-IDKTCeV.html#37c5b9989c
Iphone x 10 256 gb,Частного лица,Никита ,Б/у,11 000 грн.,https://www.olx.ua/obyavlenie/iphone-x-10-256-gb-IDKTejq.html?sd=1#37c5b9989c
Iphone X айфон 10 space gray 64GB,Частного лица,13lisitsss,Б/у,11 000 грн.,https://www.olx.ua/obyavlenie/iphone-x-ayfon-10-space-gray-64gb-IDKSq22.html?sd=1#37c5b9989c
Iphone X (10) 64 256,Бизнес,Евгений,Новый,11 880 грн.,https://www.olx.ua/obyavlenie/iphone-x-10-64-256-IDKSf3u.html?sd=1#37c5b9989c
Iphone X айфон икс айфон 10,Частного лица,Михаил,Б/у,295 $,https://www.olx.ua/obyavlenie/iphone-x-ayfon-iks-ayfon-10-IDKScpy.html#37c5b9989c
"IPhone7 , 128 гб состояние 10 из 10 , обмен расматриваю",Частного лица,Давид,Б/у,5 200 грн.,https://www.olx.ua/obyavlenie/iphone7-128-gb-sostoyanie-10-iz-10-obmen-rasmatrivayu-IDKRFfx.html?sd=1#37c5b9989c
IPhone10X64,Частного лица,Вова,Б/у,10 000 грн.,https://www.olx.ua/obyavlenie/iphone10x64-IDKRnJf.html?sd=1#37c5b9989c
IPhone X 10 64Gb,Частного лица,Максим,Б/у,10 000 грн.,https://www.olx.ua/obyavlenie/iphone-x-10-64gb-IDKPLsy.html?sd=1#37c5b9989c
Продам iPhone X ( айфон 10 ),Частного лица,Влада,Б/у,10 500 грн.,https://www.olx.ua/obyavlenie/prodam-iphone-x-ayfon-10-IDKPhCa.html?sd=1#37c5b9989c;promoted
Iphone X 256/Айфон 10 256гб/CDMA,Частного лица,Иван,Б/у,15 999 грн.,https://www.olx.ua/obyavlenie/iphone-x-256-ayfon-10-256gb-cdma-IDJOZPb.html#37c5b9989c
